,country_eng_nm,country_iso_alp2,country_nm,popltn_cn,popltn_cnt,popltn_cnt_src,popltn_growth,popltn_growth_src,popltn_month,popltn_year
0,France,FR,프랑스,,67388001,('19) World Bank (최근 수정일 : 2023.12.18.),0.34,('19) World Bank (최근 수정일 : 2023.12.18.),,2019
1,France,FR,프랑스,,67158348,('18) World Bank (최근 수정일 : 2023.12.18.),0.36,('18) World Bank (최근 수정일 : 2023.12.18.),,2018
