,country_eng_nm,country_iso_alp2,country_nm,popltn_cn,popltn_cnt,popltn_cnt_src,popltn_growth,popltn_growth_src,popltn_month,popltn_year
0,Italia,IT,이탈리아,,59729081,('19) World Bank (최근 수정일 : 2023.12.18.),-1.15,('19) World Bank (최근 수정일 : 2023.12.18.),,2019
1,Italia,IT,이탈리아,,60421760,('18) World Bank (최근 수정일 : 2023.12.18.),-0.19,('18) World Bank (최근 수정일 : 2023.12.18.),,2018
