,country_eng_nm,country_iso_alp2,country_nm,popltn_cn,popltn_cnt,popltn_cnt_src,popltn_growth,popltn_growth_src,popltn_month,popltn_year
0,Germany,DE,독일,,83092962,('19) World Bank (최근 수정일 : 2023.12.18.),0.23,('19) World Bank (최근 수정일 : 2023.12.18.),,2019
1,Germany,DE,독일,,82905782,('18) World Bank (최근 수정일 : 2023.12.18.),0.3,('18) World Bank (최근 수정일 : 2023.12.18.),,2018
