,country_eng_nm,country_iso_alp2,country_nm,popltn_cn,popltn_cnt,popltn_cnt_src,popltn_growth,popltn_growth_src,popltn_month,popltn_year
0,Austria,AT,오스트리아,,8879920,('19) World Bank (최근 수정일 : 2023.12.18.),0.44,('19) World Bank (최근 수정일 : 2023.12.18.),,2019
1,Austria,AT,오스트리아,,8840521,('18) World Bank (최근 수정일 : 2023.12.18.),0.49,('18) World Bank (최근 수정일 : 2023.12.18.),,2018
